question_id;question;answer
1;What was Korea's compliance rating for Recommendation 8 in its 2020 MER and what is the current re-rating as of 2024?;According to the context, Korea's compliance rating for Recommendation 8 in its 2020 MER was Partially Compliant (PC), and it was re-rated Largely Compliant (LC) due to progress made in addressing technical compliance deficiencies. As of 2024, Korea's current re-rating for Recommendation 8 remains Largely Compliant (LC).
2;What steps has Korea taken to strengthen cooperation between agencies managing NPO data?;Korea has taken steps to strengthen cooperation between agencies managing NPO data by establishing the NPO CFT Agencies Committee under the purview of the KoFIU, which includes agencies such as the National Intelligence Service, Ministry of the Interior and Safety, NTS, and National Police Agency. The committee provides mechanisms for sharing suspicions of NPO abuse with relevant authorities and promotes effective cooperation, coordination, and information exchange between related agencies.
3;What specific guidance or tools has Korea provided to help NPOs self-assess their exposure to TF risks?;Korea has provided tools for NPOs to self-assess their exposure to TF risks through checklists, which can be filtered by regulation, area of activity, and risk level. These checklists were developed in collaboration with representative agencies and have been distributed to at-risk NPOs. The checklists aim to help NPOs identify their specific TF risks and vulnerabilities in the Korean context.
4;What sanctions are available for NPOs that fail to comply with reporting and disclosure requirements?;For NPOs that fail to comply with reporting and disclosure requirements, sanctions available include deregistration by registrars and additional tax imposed by the National Tax Service (NTS). Additionally, NPOs or their officers can face imprisonment or a fine for collecting donations outside their specified collection plan. However, the range of sanctions available is relatively limited.
5;What role does the KoFIU play in combating terrorist financing in the NPO sector?;The KoFIU plays a role in combating terrorist financing in the NPO sector by undertaking reviews of Korea's measures to prevent TF abuse of at-risk NPOs, identifying vulnerabilities, and providing guidance to representative agencies. KoFIU also deals with international requests for information regarding NPOs suspected of TF abuse adequately. Additionally, it assesses the risks facing the NPO sector and provides findings and guidance to representative agencies.
6;What progress has Korea made in addressing deficiencies identified in its MER regarding Recommendation 8?;Korea has made progress in addressing technical compliance deficiencies identified in the MER regarding Recommendation 8, which has led to a re-rating of the country as Largely Compliant on this recommendation. This progress is reflected in the country's MER ratings and updated ratings based on this and previous FURs.
7;What measures has Korea implemented to promote transparency and accountability in NPOs?;Korea has implemented measures to promote transparency and accountability in NPOs, including holding roundtable meetings with representative agencies, developing educational materials, and requiring all NPOs to use regulated financial channels and provide information on their accounts to the NTS.
8;What measures has Korea implemented for periodic reassessment of the NPO sector?;Korea has implemented measures for periodic reassessment of the NPO sector through the NTS, which manages and oversees the registration of NPOs, and the NPOs CFT Agencies Committee and Counter-Terrorism Committee, which provide mechanisms for sharing suspicions of NPO abuse with relevant authorities. Additionally, NPO registrars use self-checklists to improve understanding of TF risks on the part of NPOs.
9;What is the total number of Non-Profit Corporations (NPCs) identified in Korea under the Corporate Tax Act?;As of 2022, there are a total of 53,918 Non-Profit Corporations (NPCs) identified in Korea under the Corporate Tax Act, which were registered with the National Tax Service (NTS) based on the Corporate Tax Act and the Value-added Act.
10;What conclusions can be drawn from Korea's re-rating to 'Largely Compliant' for Recommendation 8?;Based on the retrieved context, it can be concluded that Korea has made sufficient progress in addressing the technical compliance deficiencies identified in Recommendation 8, resulting in a re-rating to "Largely Compliant". This is evident from the "Table 1. Technical compliance ratings, October 2024" which shows an upgraded rating from Partially Compliant to Largely Compliant.
